merged_person_id,first_abs,last_abs,first_ts,frames,age_mode,gender_mode
244,2025-08-16 12:29:14.570,2025-08-16 12:29:14.570,00:48:14.570,1,28,Male
245,2025-08-16 12:29:20.169,2025-08-16 12:29:44.969,00:48:20.170,27,30,Male
246,2025-08-16 12:29:33.769,2025-08-16 12:29:33.769,00:48:33.769,1,34,Male
247,2025-08-16 12:29:54.568,2025-08-16 12:29:54.568,00:48:54.569,1,0,
248,2025-08-16 12:30:08.168,2025-08-16 12:30:08.168,00:49:08.168,1,26,Male
249,2025-08-16 12:30:09.768,2025-08-16 12:30:09.768,00:49:09.768,1,0,
250,2025-08-16 12:30:10.568,2025-08-16 12:30:12.968,00:49:10.568,2,0,
251,2025-08-16 12:30:12.168,2025-08-16 12:30:12.168,00:49:12.168,1,29,Male
252,2025-08-16 12:30:12.168,2025-08-16 12:30:12.168,00:49:12.168,1,30,Male
253,2025-08-16 12:30:36.167,2025-08-16 12:30:36.167,00:49:36.167,1,34,Male
254,2025-08-16 12:30:45.767,2025-08-16 12:30:45.767,00:49:45.767,1,35,Male
255,2025-08-16 12:31:00.966,2025-08-16 12:31:00.966,00:50:00.967,1,32,Male
256,2025-08-16 12:31:09.766,2025-08-16 12:31:09.766,00:50:09.766,1,37,Male
257,2025-08-16 12:31:39.498,2025-08-16 12:31:39.498,00:50:39.499,1,29,Male
258,2025-08-16 12:31:43.831,2025-08-16 12:31:43.831,00:50:43.832,1,0,
259,2025-08-16 12:31:48.165,2025-08-16 12:31:48.165,00:50:48.165,1,0,
260,2025-08-16 12:33:32.161,2025-08-16 12:33:32.161,00:52:32.162,1,32,Male
261,2025-08-16 12:33:35.628,2025-08-16 12:33:35.628,00:52:35.628,1,0,
262,2025-08-16 12:33:47.761,2025-08-16 12:33:47.761,00:52:47.761,1,31,Female
263,2025-08-16 12:34:05.960,2025-08-16 12:34:05.960,00:53:05.960,1,34,Male
264,2025-08-16 12:34:19.826,2025-08-16 12:34:19.826,00:53:19.827,1,29,Male
265,2025-08-16 12:34:38.026,2025-08-16 12:34:38.892,00:53:38.026,2,28,Male
266,2025-08-16 12:35:22.224,2025-08-16 12:35:22.224,00:54:22.225,1,29,Male
267,2025-08-16 12:36:07.289,2025-08-16 12:36:07.289,00:55:07.290,1,28,Male
268,2025-08-16 12:38:23.351,2025-08-16 12:38:23.351,00:57:23.352,1,30,Male
269,2025-08-16 12:38:25.085,2025-08-16 12:38:25.085,00:57:25.085,1,23,Female
270,2025-08-16 12:38:38.084,2025-08-16 12:38:38.084,00:57:38.085,1,37,Male
271,2025-08-16 12:38:51.950,2025-08-16 12:38:51.950,00:57:51.951,1,29,Male
272,2025-08-16 12:40:50.013,2025-08-16 12:40:50.013,00:59:50.014,1,45,Male
